number,hash,difficulty
0x0,0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,0x400000000
0x1,0x88e96d4537bea4d9c05d12549907b32561d3bf31f45aae734cdc119f13406cb6,0x3ff800000
0x2,0xb495a1d7e6663152ae92708da4843337b958146015a2802f4193a410044698c9,0x3ff001000
0x3,0x3d6122660cc824376f11ee842f83addc3525e2dd6756b9bcf0affa6aa88cf741,0x3fe802ffe
0x4,0x23adf5a3be0f5235b36941bcb29b62504278ec5b9cdfa277b992ba4a7a3cd3a2,0x3fe005ff9
0x5,0xf37c632d361e0a93f08ba29b1a2c708d9caa3ee19d1ee8d2a02612bffe49f0a9,0x3fe802004
0x6,0x1f1aed8e3694a067496c248e61879cda99b0709a1dfbacd0b693750df06b326e,0x3fe005000
0x7,0xe0c7c0b46e116b874354dce6f64b8581bd239186b03f30a978e3dc38656f723a,0x3fe80100a
0x8,0x2ce94342df186bab4165c268c43ab982d360c9474f429fec5565adfc5d1f258b,0x3feffe00c
0x9,0x997e47bf4cac509c627753c06385ac866641ec6f883734ff7944411000dc576e,0x3ff7fc008
0xa,0x4ff4a38b278ab49f7739d3a4ed4e12714386a9fdf72192f2e8f7da7822f10b4d,0x3feffd010
0xb,0x3f5e756c3efcb93099361b7ddd0dabfeaa592439437c1c836e443ccb81e93242,0x3ff7fb00a
0xc,0xc63f666315fa1eae17e354fab532aeeecf549be93e358737d0648f50d57083a0,0x3ffffa000
0xd,0x55b6a7e73c57d1ca35b35cad22869eaa33e10fa2a822fb7308f419269794d611,0x3ff7fa00c
0xe,0x46015afbe00cf61ff284c26cc09a776a7303e422c7b359fe4317b4e6aaa410a4,0x3ffff9000
0xf,0x2d33dc73755afbbbeb6ec4885f2923398901bf1ad94beb325a4c4ecad5bf0f1c,0x4007f8ff2
0x10,0x9657beaf8542273d7448f6d277bb61aef0f700a91b238ac8b34c020f7fb8664c,0x400ff9fe3
0x11,0xf25fe829ebbf3e2459ecb89cbc1aaa5f83c04501df08d63fa8dd1589f6b1cae0,0x4017fbfd6
0x12,0x480ff3f8a495b764e4361a6c2e296f34e8721cf1ec54fe5c46827937353bf118,0x401ffefcd
0x13,0xec888de9fa46cb7a47b7bd812a2f601d948d89e5317cf9f68976a0dec92b1ee2,0x402802fca
0x14,0x720c47720a39b4b2f04ca82420b8272910a7c397710fcb8ed8337f5a007e39ec,0x403007fcf
0x15,0xb8de276e2666e121a926f1b2654f2208165e52c609e56730081bf6aec313a8a2,0x40380dfde
0x16,0xa8f91e9df6bfd1424a9ec9b0149f01aa31cceed3b21bac7376d90d7f0cd80cf4,0x404014ff9
0x17,0x639f5f5e5b7e354de98dbc0857be83603d57ff55029f6488c96da0c5e42ed91a,0x40481d022
0x18,0xaddd21b8792c377d83a812dd1bdd539b8e277453bc28182d7526306c5cb48bc0,0x40502605c
0x19,0xbdf3b4b0005c4704878d3048386f1b96685401c1711833b6baad021f4f9e0aa2,0x4058300a8
0x1a,0xc487344078edd37468146521efee5480ea87663435a2510ec0ca9dc11259e8a7,0x40603b108
0x1b,0x955aa394d09a093d9cb3580e3ad179ce195333f858e45e6a007b2a0b2e165b4e,0x40684717e
0x1c,0xa3242d17c10836abe0c20c8a7726d21c1d76d7fb874afb46e3360119d5bf756a,0x40705420c
0x1d,0xe91bc2264d69287157d23d450e34f39925cebe653f3bf02d4a81a8308d02ad9d,0x4078622b4
0x1e,0xd1eb5ef56d30f0d773cccd3075c7fcca14ec9013db6b76344c69dbbaffaa9b8c,0x408071378
