block_number,proof_size,blocks_queried,L
0,0,0,0
101,50,1,100
10101,192,207,100
20101,249,275,100
30101,274,312,100
40101,296,333,100
50101,311,351,100
60101,319,363,100
70101,328,368,100
80101,342,377,100
90101,334,371,100
100101,341,379,100
110101,347,386,100
120101,355,400,100
130101,357,403,100
140101,371,414,100
150101,372,414,100
160101,376,416,100
170101,378,418,100
180101,377,424,100
190101,400,448,100
200101,403,455,100
210101,415,460,100
220101,413,461,100
230101,413,465,100
240101,424,477,100
250101,439,488,100
260101,442,492,100
270101,444,487,100
280101,444,486,100
290101,435,491,100
300101,450,495,100
310101,459,513,100
320101,459,515,100
330101,465,514,100
340101,467,516,100
350101,482,524,100
360101,478,523,100
370101,474,527,100
380101,478,527,100
390101,480,532,100
400101,490,535,100
410101,490,540,100
420101,490,540,100
430101,484,539,100
440101,489,539,100
450101,496,538,100
460101,494,537,100
470101,489,534,100
480101,483,538,100
490101,495,537,100
500101,497,542,100
510101,499,542,100
520101,504,544,100
530101,492,545,100
540101,498,546,100
550101,504,546,100
560101,497,546,100
570101,504,555,100
580101,504,559,100
590101,512,560,100
600101,518,562,100
610101,522,562,100
620101,517,564,100
630101,514,564,100
640101,519,566,100
650101,522,568,100
660101,531,572,100
670101,531,570,100
680101,525,570,100
690101,526,569,100
700101,524,569,100
710101,522,569,100
720101,522,572,100
730101,532,572,100
740101,534,576,100
750101,531,578,100
760101,533,579,100
770101,535,580,100
780101,529,580,100
790101,545,583,100
800101,543,585,100
810101,539,585,100
820101,542,587,100
830101,535,587,100
840101,544,588,100
850101,540,587,100
860101,547,587,100
870101,530,583,100
880101,546,585,100
890101,537,584,100
900101,533,580,100
910101,532,580,100
920101,544,582,100
930101,538,583,100
940101,535,585,100
950101,546,584,100
960101,540,585,100
970101,538,585,100
980101,544,586,100
990101,539,585,100
1000101,542,582,100
1010101,542,582,100
1020101,542,585,100
1030101,541,585,100
1040101,544,584,100
1050101,539,582,100
1060101,543,584,100
1070101,534,581,100
1080101,544,582,100
1090101,547,581,100
1100101,533,578,100
1110101,541,575,100
1120101,541,576,100
1130101,538,575,100
1140101,530,570,100
1150101,522,570,100
1160101,531,581,100
1170101,533,578,100
1180101,538,580,100
1190101,532,578,100
1200101,536,580,100
1210101,538,580,100
1220101,538,577,100
1230101,528,573,100
1240101,529,575,100
1250101,536,573,100
1260101,541,573,100
1270101,530,573,100
1280101,530,573,100
1290101,537,575,100
1300101,533,573,100
1310101,535,575,100
1320101,535,577,100
1330101,532,575,100
